antecedents,consequents,support,confidence,lift
"Day=Weekday, Time=Morning Peak",Traffic=Severe,0.1003175130221844,0.8216896141424443,3.2894207391112373
"Day=Weekend, Time=Daytime",Traffic=High,0.05572042252059684,0.804373876572798,3.2155603111343467
Weather=snow,Temperature=Cold,0.056488264469670244,0.9467826086956522,2.787645946793193
Time=Morning Peak,"Day=Weekday, Traffic=Severe",0.1003175130221844,0.5849467570183929,2.4271789701580384
"Temperature=Cold, Time=Night",Traffic=Low,0.09062610247577148,0.6003574374484466,2.4013799151928525
"Day=Weekday, Temperature=Mild, Traffic=Low",Time=Night,0.06543258555211987,0.9946372239747633,2.3638086364012585
"Temperature=Mild, Time=Night",Traffic=Low,0.09145620188017516,0.5900388271522292,2.360106330537434
"Day=Weekday, Traffic=Low, Weather=clear",Time=Night,0.05237927241787204,0.992918961447679,2.3597250934740237
"Day=Weekday, Traffic=Low",Time=Night,0.16743104986822172,0.9907896352695567,2.3546646357631746
"Day=Weekday, Traffic=High",Time=Daytime,0.08699441758150539,0.5742465753424658,2.3478041511986594
"Day=Weekday, Temperature=Mild, Time=Night",Traffic=Low,0.06543258555211987,0.586386460851776,2.345497168512039
"Day=Weekday, Temperature=Cold, Traffic=Low",Time=Night,0.06246498018137672,0.9862385321100918,2.3438486953437065
Time=Morning Peak,Traffic=Severe,0.1003175130221844,0.5849467570183929,2.3416822613977986
Traffic=High,Time=Daytime,0.14271484010210223,0.5705160112825618,2.3325517593477687
Time=Daytime,Traffic=High,0.14271484010210223,0.5834888851179365,2.3325517593477687
"Day=Weekday, Temperature=Cold, Time=Night",Traffic=Low,0.06246498018137672,0.5811932805560919,2.3247248784059433
"Traffic=High, Weather=clouds",Time=Daytime,0.051652935439018825,0.564911484339537,2.3096376799481817
"Day=Weekend, Traffic=High",Time=Daytime,0.05572042252059684,0.5647875473285654,2.3091309641202766
"Day=Weekend, Time=Night",Traffic=Low,0.06900201299105568,0.5772569444444445,2.3089798607075993
"Traffic=Low, Weather=clear",Time=Night,0.07566356071139518,0.9594736842105263,2.2802406007621143
"Temperature=Mild, Traffic=Low",Time=Night,0.09145620188017516,0.9545159194282001,2.26845820721477
"Temperature=Mild, Traffic=Low","Day=Weekday, Time=Night",0.06543258555211987,0.6829109811565952,2.2669765396109707
"Temperature=Warm, Traffic=Low",Time=Night,0.05435075850333077,0.9489130434782609,2.2551426724248844
Time=Night,Traffic=Low,0.2364330628592774,0.5618958374432828,2.2475367078010677
Traffic=Low,Time=Night,0.2364330628592774,0.9457126255499294,2.2475367078010677
"Temperature=Warm, Time=Daytime",Traffic=High,0.051715192894349095,0.560251798561151,2.2396593178418933
"Traffic=Low, Weather=clouds",Time=Night,0.05395646128623903,0.9423704240666909,2.2395937869649654
"Time=Night, Weather=clear",Traffic=Low,0.07566356071139518,0.5578335373317014,2.2312878445590347
"Day=Weekday, Time=Night, Weather=clear",Traffic=Low,0.05237927241787204,0.5559471365638767,2.223742398074502
Traffic=Low,"Day=Weekday, Time=Night",0.16743104986822172,0.6697103013198307,2.2231558480090023
"Day=Weekday, Time=Night",Traffic=Low,0.16743104986822172,0.555800496004409,2.2231558480090023
"Temperature=Cold, Traffic=Low",Time=Night,0.09062610247577148,0.935117773019272,2.2223574732925457
"Traffic=Low, Weather=clear","Day=Weekday, Time=Night",0.05237927241787204,0.6642105263157895,2.204898913721338
"Time=Daytime, Weather=clouds",Traffic=High,0.051652935439018825,0.5512735326688815,2.2037678545474857
"Temperature=Warm, Traffic=High",Time=Daytime,0.051715192894349095,0.5389273356401384,2.2034016224750848
"Temperature=Cold, Traffic=Low","Day=Weekday, Time=Night",0.06246498018137672,0.6445396145610278,2.139599780025644
"Day=Weekend, Traffic=Low",Time=Night,0.06900201299105568,0.8516905737704918,2.0240882658452697
"Day=Weekday, Traffic=Moderate",Time=Night,0.12835412040591862,0.832324047907415,1.9780626798438847
"Traffic=Moderate, Weather=clear",Time=Night,0.05652976943989043,0.7577190542420028,1.800759916490402
"Temperature=Warm, Traffic=Moderate",Time=Night,0.05733911635918401,0.7508152173913044,1.7843525784392773
"Temperature=Mild, Traffic=Moderate",Time=Night,0.06055575155124826,0.7383603238866396,1.7547528569306325
Traffic=Moderate,"Day=Weekday, Time=Night",0.12835412040591862,0.5133206075192963,1.704007999072219
Traffic=Moderate,Time=Night,0.17537925166538693,0.7013860071375219,1.6668814128001463
"Traffic=Moderate, Weather=clouds",Time=Night,0.05202648017100048,0.7004749930148086,1.6647163389428183
"Temperature=Cold, Traffic=Moderate",Time=Night,0.057484383754954654,0.6271224813221644,1.4903901660816303
"Time=Morning Peak, Traffic=Severe",Day=Weekday,0.1003175130221844,1.0,1.3972511381100123
"Temperature=Warm, Traffic=Severe",Day=Weekday,0.08352875256812003,0.9790805156896132,1.36802136484865
Traffic=Severe,Day=Weekday,0.2409986095834976,0.9647752762316191,1.3480333527350314
"Traffic=Severe, Weather=clear",Day=Weekday,0.059663394691514306,0.9641180415828303,1.3471150308740059
"Time=Evening Peak, Traffic=Severe",Day=Weekday,0.056633531865440886,0.9639703285058284,1.3469086386090512
"Temperature=Cold, Traffic=Severe",Day=Weekday,0.06790213128022081,0.9609397944199706,1.3426742214085052
"Traffic=Severe, Weather=clouds",Day=Weekday,0.0877207545603586,0.9576347983688265,1.338056311914595
"Temperature=Mild, Traffic=Severe",Day=Weekday,0.08956772573515678,0.9546560495465605,1.33389425173254
"Temperature=Mild, Weather=clear",Time=Night,0.0501587565110922,0.5513229927007299,1.3102486214869833
"Time=Daytime, Traffic=Severe",Day=Weekday,0.08402681221076223,0.9263326469915351,1.2943193452773827
"Temperature=Cold, Weather=clouds",Day=Weekday,0.07885944341834934,0.7364341085271318,1.0289833962825672
Weather=rain,Day=Weekday,0.0861850706622118,0.7321932299012694,1.0230578237959946
"Time=Night, Traffic=Moderate",Day=Weekday,0.12835412040591862,0.7318660513548694,1.022600673199672
"Temperature=Cold, Time=Daytime",Day=Weekday,0.05528462033328491,0.7302631578947368,1.0203610284882327
"Temperature=Mild, Weather=clouds",Day=Weekday,0.0758918380476062,0.7227272727272727,1.009831504361327
"Time=Night, Weather=clouds",Day=Weekday,0.0789632058438998,0.7221484152590624,1.0090226951050667
Weather=mist,Day=Weekday,0.08906966609251458,0.72146579257018,1.008068899776126
Weather=clouds,Day=Weekday,0.22651337497665344,0.7200818049874653,1.006135121551048
"Temperature=Mild, Time=Night",Day=Weekday,0.11158611243696433,0.7199089570223591,1.0058936095350832
Time=Evening Peak,Day=Weekday,0.1170440160209185,0.7174659712504771,1.0024801448849345
Temperature=Cold,Day=Weekday,0.24344740282648847,0.7167909079799585,1.0015369119619062
Time=Daytime,Day=Weekday,0.17531699421005664,0.7167826234515526,1.0015253363951624
Temperature=Mild,Day=Weekday,0.24759789984850686,0.7167487684729064,1.0014780324877182
Time=Night,Day=Weekday,0.3012430738580945,0.7159202998619058,1.0003204537781092
"Temperature=Warm, Time=Night",Day=Weekday,0.08217984103596405,0.7157057654075547,1.0000206952676034
"Temperature=Warm, Time=Daytime",Day=Weekday,0.06605516010542263,0.7156025179856116,0.9998764326897864
"Temperature=Mild, Time=Night, Traffic=Low",Day=Weekday,0.06543258555211987,0.7154526889040163,0.9996670838350054
Temperature=Warm,Day=Weekday,0.2246456513167452,0.71334431630972,0.9967211578280649
"Time=Daytime, Weather=clouds",Day=Weekday,0.06673999211405565,0.7122923588039866,0.9952513090059355
"Temperature=Cold, Time=Night",Day=Weekday,0.10747712038516613,0.7119879021171296,0.9948259065537194
Time=Morning Peak,Day=Weekday,0.12208686990267084,0.7118828654404646,0.9946791439377061
"Time=Night, Traffic=Low",Day=Weekday,0.16743104986822172,0.7081541297287808,0.9894691637208444
"Temperature=Warm, Weather=clear",Day=Weekday,0.0705169444040924,0.7067387687188021,0.9874915489388152
"Temperature=Mild, Time=Daytime",Day=Weekday,0.05397721377134912,0.7048780487804878,0.9848916558873013
"Temperature=Mild, Weather=clear",Day=Weekday,0.06400066407952353,0.7034671532846716,0.9829202805500179
"Temperature=Warm, Weather=clouds",Day=Weekday,0.0717620935106979,0.7002835155933576,0.9784719391624994
"Temperature=Cold, Traffic=High",Day=Weekday,0.05594869985680785,0.6959215281362933,0.9723771472236948
"Time=Night, Weather=clear",Day=Weekday,0.09421628239981737,0.6946144430844553,0.9705508211474076
Weather=clear,Day=Weekday,0.19233403200033203,0.6924686192468619,0.9675525663481466
"Time=Night, Traffic=Low, Weather=clear",Day=Weekday,0.05237927241787204,0.6922654964344488,0.9672687527673263
"Temperature=Cold, Time=Night, Traffic=Low",Day=Weekday,0.06246498018137672,0.6892603618044424,0.9630698249853761
"Temperature=Mild, Traffic=Low",Day=Weekday,0.06578537779899143,0.6865930257743124,0.959342886681555
Traffic=Low,Day=Weekday,0.1689874862514786,0.6759359176558479,0.9444522302340691
"Traffic=Low, Weather=clear",Day=Weekday,0.05275281714985369,0.6689473684210526,0.9346874718620135
"Temperature=Cold, Weather=clear",Day=Weekday,0.05781642351671613,0.6645992366412213,0.928612039783992
"Temperature=Cold, Traffic=Low",Day=Weekday,0.06333658455600058,0.6535331905781584,0.9131499943279995
Traffic=Moderate,Day=Weekday,0.15421171685309315,0.6167316789775086,0.8617290403598227
"Temperature=Cold, Traffic=Moderate",Day=Weekday,0.056259987133459234,0.61376499886801,0.8575838432004174
"Temperature=Mild, Traffic=Moderate",Day=Weekday,0.050096499055761926,0.61082995951417,0.8534828561228668
"Time=Daytime, Traffic=High",Day=Weekday,0.08699441758150539,0.6095681256361786,0.8517197573007376
Traffic=High,Day=Weekday,0.1514931413036711,0.6056080968972954,0.8461866026383847
