holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume,month,year,hour,day_of_week,day_of_month,month_name,is_weekend,day_type,month_year
No Holiday,288.28,0.0,0.0,40,clouds,scattered clouds,2012-10-02 09:00:00,5545,10,2012,9,1,2,October,False,Weekday,2012-10
No Holiday,289.36,0.0,0.0,75,clouds,broken clouds,2012-10-02 10:00:00,4516,10,2012,10,1,2,October,False,Weekday,2012-10
No Holiday,289.58,0.0,0.0,90,clouds,overcast clouds,2012-10-02 11:00:00,4767,10,2012,11,1,2,October,False,Weekday,2012-10
No Holiday,290.13,0.0,0.0,90,clouds,overcast clouds,2012-10-02 12:00:00,5026,10,2012,12,1,2,October,False,Weekday,2012-10
No Holiday,291.14,0.0,0.0,75,clouds,broken clouds,2012-10-02 13:00:00,4918,10,2012,13,1,2,October,False,Weekday,2012-10
No Holiday,291.72,0.0,0.0,1,clear,sky is clear,2012-10-02 14:00:00,5181,10,2012,14,1,2,October,False,Weekday,2012-10
No Holiday,293.17,0.0,0.0,1,clear,sky is clear,2012-10-02 15:00:00,5584,10,2012,15,1,2,October,False,Weekday,2012-10
No Holiday,293.86,0.0,0.0,1,clear,sky is clear,2012-10-02 16:00:00,6015,10,2012,16,1,2,October,False,Weekday,2012-10
No Holiday,294.14,0.0,0.0,20,clouds,few clouds,2012-10-02 17:00:00,5791,10,2012,17,1,2,October,False,Weekday,2012-10
No Holiday,293.1,0.0,0.0,20,clouds,few clouds,2012-10-02 18:00:00,4770,10,2012,18,1,2,October,False,Weekday,2012-10
No Holiday,290.97,0.0,0.0,20,clouds,few clouds,2012-10-02 19:00:00,3539,10,2012,19,1,2,October,False,Weekday,2012-10
No Holiday,289.38,0.0,0.0,1,clear,sky is clear,2012-10-02 20:00:00,2784,10,2012,20,1,2,October,False,Weekday,2012-10
No Holiday,288.61,0.0,0.0,1,clear,sky is clear,2012-10-02 21:00:00,2361,10,2012,21,1,2,October,False,Weekday,2012-10
No Holiday,287.16,0.0,0.0,1,clear,sky is clear,2012-10-02 22:00:00,1529,10,2012,22,1,2,October,False,Weekday,2012-10
No Holiday,285.45,0.0,0.0,1,clear,sky is clear,2012-10-02 23:00:00,963,10,2012,23,1,2,October,False,Weekday,2012-10
No Holiday,284.63,0.0,0.0,1,clear,sky is clear,2012-10-03 00:00:00,506,10,2012,0,2,3,October,False,Weekday,2012-10
No Holiday,283.47,0.0,0.0,1,clear,sky is clear,2012-10-03 01:00:00,321,10,2012,1,2,3,October,False,Weekday,2012-10
No Holiday,281.18,0.0,0.0,1,clear,sky is clear,2012-10-03 02:00:00,273,10,2012,2,2,3,October,False,Weekday,2012-10
No Holiday,281.09,0.0,0.0,1,clear,sky is clear,2012-10-03 03:00:00,367,10,2012,3,2,3,October,False,Weekday,2012-10
No Holiday,279.53,0.0,0.0,1,clear,sky is clear,2012-10-03 04:00:00,814,10,2012,4,2,3,October,False,Weekday,2012-10
No Holiday,278.62,0.0,0.0,1,clear,sky is clear,2012-10-03 05:00:00,2718,10,2012,5,2,3,October,False,Weekday,2012-10
No Holiday,278.23,0.0,0.0,1,clear,sky is clear,2012-10-03 06:00:00,5673,10,2012,6,2,3,October,False,Weekday,2012-10
No Holiday,278.12,0.0,0.0,1,clear,sky is clear,2012-10-03 08:00:00,6511,10,2012,8,2,3,October,False,Weekday,2012-10
No Holiday,282.48,0.0,0.0,1,clear,sky is clear,2012-10-03 09:00:00,5471,10,2012,9,2,3,October,False,Weekday,2012-10
No Holiday,291.97,0.0,0.0,1,clear,sky is clear,2012-10-03 12:00:00,5097,10,2012,12,2,3,October,False,Weekday,2012-10
No Holiday,293.23,0.0,0.0,1,clear,sky is clear,2012-10-03 13:00:00,4887,10,2012,13,2,3,October,False,Weekday,2012-10
No Holiday,294.31,0.0,0.0,1,clear,sky is clear,2012-10-03 14:00:00,5337,10,2012,14,2,3,October,False,Weekday,2012-10
No Holiday,295.17,0.0,0.0,1,clear,sky is clear,2012-10-03 15:00:00,5692,10,2012,15,2,3,October,False,Weekday,2012-10
